asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
ASSET_001,SITE_01,BLDG_01,Chiller-01,Chiller,Carrier,2022-07-18,1000,
ASSET_002,SITE_01,BLDG_01,AHU-01-1,AHU,Daikin,2023-06-27,200,ASSET_001
ASSET_003,SITE_01,BLDG_01,AHU-01-2,AHU,Trane,2022-05-23,150,ASSET_001
ASSET_004,SITE_01,BLDG_01,Pump-01,Pump,KSB,2024-11-05,100,ASSET_001
ASSET_005,SITE_01,BLDG_01,EnergyMeter-01,Energy Meter,ABB,2023-08-13,500,
ASSET_006,SITE_01,BLDG_02,Chiller-02,Chiller,Trane,2023-02-24,500,
ASSET_007,SITE_01,BLDG_02,AHU-02-1,AHU,Johnson Controls,2022-04-30,150,ASSET_006
ASSET_008,SITE_01,BLDG_02,AHU-02-2,AHU,Daikin,2022-03-30,250,ASSET_006
ASSET_009,SITE_01,BLDG_02,Pump-02,Pump,Wilo,2021-01-17,75,ASSET_006
ASSET_010,SITE_01,BLDG_02,EnergyMeter-02,Energy Meter,Siemens,2020-04-19,500,
ASSET_011,SITE_02,BLDG_03,Chiller-03,Chiller,Daikin,2024-08-09,1000,
ASSET_012,SITE_02,BLDG_03,AHU-03-1,AHU,Trane,2019-07-09,250,ASSET_011
ASSET_013,SITE_02,BLDG_03,AHU-03-2,AHU,Trane,2020-07-16,150,ASSET_011
ASSET_014,SITE_02,BLDG_03,Pump-03,Pump,Grundfos,2020-10-08,100,ASSET_011
ASSET_015,SITE_02,BLDG_03,EnergyMeter-03,Energy Meter,Siemens,2022-07-21,500,
ASSET_016,SITE_02,BLDG_04,Chiller-04,Chiller,Carrier,2024-08-23,1200,
ASSET_017,SITE_02,BLDG_04,AHU-04-1,AHU,Johnson Controls,2022-09-25,150,ASSET_016
ASSET_018,SITE_02,BLDG_04,AHU-04-2,AHU,Trane,2023-01-18,250,ASSET_016
ASSET_019,SITE_02,BLDG_04,Pump-04,Pump,KSB,2019-02-04,50,ASSET_016
ASSET_020,SITE_02,BLDG_04,EnergyMeter-04,Energy Meter,Siemens,2024-05-09,1000,
ASSET_021,SITE_03,BLDG_05,Chiller-05,Chiller,Trane,2021-10-18,750,
ASSET_022,SITE_03,BLDG_05,AHU-05-1,AHU,Johnson Controls,2022-02-03,150,ASSET_021
ASSET_023,SITE_03,BLDG_05,AHU-05-2,AHU,Johnson Controls,2023-02-09,250,ASSET_021
ASSET_024,SITE_03,BLDG_05,Pump-05,Pump,Wilo,2023-04-29,100,ASSET_021
ASSET_025,SITE_03,BLDG_05,EnergyMeter-05,Energy Meter,Schneider,2024-06-04,1000,
ASSET_026,SITE_03,BLDG_06,Chiller-06,Chiller,Trane,2021-03-26,1200,
ASSET_027,SITE_03,BLDG_06,AHU-06-1,AHU,Johnson Controls,2022-06-29,200,ASSET_026
ASSET_028,SITE_03,BLDG_06,AHU-06-2,AHU,Johnson Controls,2019-12-04,100,ASSET_026
ASSET_029,SITE_03,BLDG_06,Pump-06,Pump,Grundfos,2021-03-02,100,ASSET_026
ASSET_030,SITE_03,BLDG_06,EnergyMeter-06,Energy Meter,Siemens,2021-02-02,1000,
