source_asset_id,target_asset_id,connection_type,relationship_strength
ASSET_001,ASSET_002,Supplies,0.89
ASSET_001,ASSET_002,Controls,0.68
ASSET_001,ASSET_003,Supplies,0.82
ASSET_001,ASSET_003,Controls,0.65
ASSET_004,ASSET_001,Supplies,0.7
ASSET_005,ASSET_001,Monitors,0.88
ASSET_006,ASSET_007,Supplies,0.84
ASSET_006,ASSET_007,Controls,0.69
ASSET_006,ASSET_008,Supplies,0.75
ASSET_006,ASSET_008,Controls,0.66
ASSET_009,ASSET_006,Supplies,0.88
ASSET_010,ASSET_006,Monitors,0.96
ASSET_011,ASSET_012,Supplies,0.89
ASSET_011,ASSET_012,Controls,0.88
ASSET_011,ASSET_013,Supplies,0.9
ASSET_011,ASSET_013,Controls,0.87
ASSET_014,ASSET_011,Supplies,0.91
ASSET_015,ASSET_011,Monitors,0.89
ASSET_016,ASSET_017,Supplies,0.77
ASSET_016,ASSET_017,Controls,0.71
ASSET_016,ASSET_018,Supplies,0.9
ASSET_016,ASSET_018,Controls,0.8
ASSET_019,ASSET_016,Supplies,0.85
ASSET_020,ASSET_016,Monitors,0.85
ASSET_021,ASSET_022,Supplies,0.88
ASSET_021,ASSET_022,Controls,0.71
ASSET_021,ASSET_023,Supplies,0.97
ASSET_021,ASSET_023,Controls,0.85
ASSET_024,ASSET_021,Supplies,0.88
ASSET_025,ASSET_021,Monitors,0.85
ASSET_026,ASSET_027,Supplies,0.81
ASSET_026,ASSET_027,Controls,0.61
ASSET_026,ASSET_028,Supplies,0.91
ASSET_026,ASSET_028,Controls,0.63
ASSET_029,ASSET_026,Supplies,0.81
ASSET_030,ASSET_026,Monitors,0.84
