asset_id,site_id,building_id,asset_name,asset_type,parent_asset_id
ASSET_001,SITE_01,BLDG_01,Chiller-01,Chiller,
ASSET_002,SITE_01,BLDG_01,AHU-01-1,AHU,ASSET_001
ASSET_003,SITE_01,BLDG_01,AHU-01-2,AHU,ASSET_001
ASSET_004,SITE_01,BLDG_01,Pump-01,Pump,ASSET_001
ASSET_005,SITE_01,BLDG_01,EnergyMeter-01,Energy Meter,
ASSET_006,SITE_01,BLDG_02,Chiller-02,Chiller,
ASSET_007,SITE_01,BLDG_02,AHU-02-1,AHU,ASSET_006
ASSET_008,SITE_01,BLDG_02,AHU-02-2,AHU,ASSET_006
ASSET_009,SITE_01,BLDG_02,Pump-02,Pump,ASSET_006
ASSET_010,SITE_01,BLDG_02,EnergyMeter-02,Energy Meter,
ASSET_011,SITE_02,BLDG_03,Chiller-03,Chiller,
ASSET_012,SITE_02,BLDG_03,AHU-03-1,AHU,ASSET_011
ASSET_013,SITE_02,BLDG_03,AHU-03-2,AHU,ASSET_011
ASSET_014,SITE_02,BLDG_03,Pump-03,Pump,ASSET_011
ASSET_015,SITE_02,BLDG_03,EnergyMeter-03,Energy Meter,
ASSET_016,SITE_02,BLDG_04,Chiller-04,Chiller,
ASSET_017,SITE_02,BLDG_04,AHU-04-1,AHU,ASSET_016
ASSET_018,SITE_02,BLDG_04,AHU-04-2,AHU,ASSET_016
ASSET_019,SITE_02,BLDG_04,Pump-04,Pump,ASSET_016
ASSET_020,SITE_02,BLDG_04,EnergyMeter-04,Energy Meter,
ASSET_021,SITE_03,BLDG_05,Chiller-05,Chiller,
ASSET_022,SITE_03,BLDG_05,AHU-05-1,AHU,ASSET_021
ASSET_023,SITE_03,BLDG_05,AHU-05-2,AHU,ASSET_021
ASSET_024,SITE_03,BLDG_05,Pump-05,Pump,ASSET_021
ASSET_025,SITE_03,BLDG_05,EnergyMeter-05,Energy Meter,
ASSET_026,SITE_03,BLDG_06,Chiller-06,Chiller,
ASSET_027,SITE_03,BLDG_06,AHU-06-1,AHU,ASSET_026
ASSET_028,SITE_03,BLDG_06,AHU-06-2,AHU,ASSET_026
ASSET_029,SITE_03,BLDG_06,Pump-06,Pump,ASSET_026
ASSET_030,SITE_03,BLDG_06,EnergyMeter-06,Energy Meter,
