asset_id,asset_name,site_id,building_id,asset_type,in_degree,out_degree,total_degree,weighted_out_degree,downstream_count,betweenness_centrality
ASSET_001,Chiller-01,SITE_01,BLDG_01,Chiller,2,2,4,1.33,2,0.0049261083743842365
ASSET_002,AHU-01-1,SITE_01,BLDG_01,AHU,1,0,1,0.0,0,0.0
ASSET_003,AHU-01-2,SITE_01,BLDG_01,AHU,1,0,1,0.0,0,0.0
ASSET_004,Pump-01,SITE_01,BLDG_01,Pump,0,1,1,0.7,3,0.0
ASSET_005,EnergyMeter-01,SITE_01,BLDG_01,Energy Meter,0,1,1,0.88,3,0.0
ASSET_006,Chiller-02,SITE_01,BLDG_02,Chiller,2,2,4,1.35,2,0.0049261083743842365
ASSET_007,AHU-02-1,SITE_01,BLDG_02,AHU,1,0,1,0.0,0,0.0
ASSET_008,AHU-02-2,SITE_01,BLDG_02,AHU,1,0,1,0.0,0,0.0
ASSET_009,Pump-02,SITE_01,BLDG_02,Pump,0,1,1,0.88,3,0.0
ASSET_010,EnergyMeter-02,SITE_01,BLDG_02,Energy Meter,0,1,1,0.96,3,0.0
ASSET_011,Chiller-03,SITE_02,BLDG_03,Chiller,2,2,4,1.75,2,0.0049261083743842365
ASSET_012,AHU-03-1,SITE_02,BLDG_03,AHU,1,0,1,0.0,0,0.0
ASSET_013,AHU-03-2,SITE_02,BLDG_03,AHU,1,0,1,0.0,0,0.0
ASSET_014,Pump-03,SITE_02,BLDG_03,Pump,0,1,1,0.91,3,0.0
ASSET_015,EnergyMeter-03,SITE_02,BLDG_03,Energy Meter,0,1,1,0.89,3,0.0
ASSET_016,Chiller-04,SITE_02,BLDG_04,Chiller,2,2,4,1.51,2,0.0049261083743842365
ASSET_017,AHU-04-1,SITE_02,BLDG_04,AHU,1,0,1,0.0,0,0.0
ASSET_018,AHU-04-2,SITE_02,BLDG_04,AHU,1,0,1,0.0,0,0.0
ASSET_019,Pump-04,SITE_02,BLDG_04,Pump,0,1,1,0.85,3,0.0
ASSET_020,EnergyMeter-04,SITE_02,BLDG_04,Energy Meter,0,1,1,0.85,3,0.0
ASSET_021,Chiller-05,SITE_03,BLDG_05,Chiller,2,2,4,1.56,2,0.0049261083743842365
ASSET_022,AHU-05-1,SITE_03,BLDG_05,AHU,1,0,1,0.0,0,0.0
ASSET_023,AHU-05-2,SITE_03,BLDG_05,AHU,1,0,1,0.0,0,0.0
ASSET_024,Pump-05,SITE_03,BLDG_05,Pump,0,1,1,0.88,3,0.0
ASSET_025,EnergyMeter-05,SITE_03,BLDG_05,Energy Meter,0,1,1,0.85,3,0.0
ASSET_026,Chiller-06,SITE_03,BLDG_06,Chiller,2,2,4,1.24,2,0.0049261083743842365
ASSET_027,AHU-06-1,SITE_03,BLDG_06,AHU,1,0,1,0.0,0,0.0
ASSET_028,AHU-06-2,SITE_03,BLDG_06,AHU,1,0,1,0.0,0,0.0
ASSET_029,Pump-06,SITE_03,BLDG_06,Pump,0,1,1,0.81,3,0.0
ASSET_030,EnergyMeter-06,SITE_03,BLDG_06,Energy Meter,0,1,1,0.84,3,0.0
