hour,average_energy_kwh
0,16.902926296296297
1,16.919917962962963
2,16.742418796296295
3,16.861494814814815
4,16.849490092592593
5,16.83190666666667
6,17.111877222222223
7,17.36510009259259
8,42.97906444444445
9,44.47028962962963
10,45.54580361111111
11,46.16085046296296
12,46.23354694444444
13,46.23177833333333
14,45.671366666666664
15,44.644992314814814
16,42.94454324074074
17,40.59947935185185
18,38.439790555555554
19,16.886116574074077
20,16.870048796296295
21,16.760122777777777
22,16.736672592592594
23,16.742848981481483
