timestamp,site_id,building_id,asset_id,asset_type,temperature,vibration,pressure,power_consumption,statistical_anomaly,isolation_forest_anomaly,autoencoder_anomaly,cluster_anomaly,change_point_signal,anomaly_score,severity,primary_reason
2026-01-01 09:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.916,0.095,1.504,101.697,1,0,1,0,0,2,Watch,Excessive vibration
2026-01-07 14:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.557,0.083,1.466,87.515,1,0,1,0,0,2,Watch,Excessive vibration
2026-01-08 13:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,26.684,0.289,1.617,87.633,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 13:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.952,0.335,1.49,90.258,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 13:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,26.855,0.346,1.536,102.443,1,1,0,1,0,3,Anomaly,Excessive vibration
2026-01-08 14:00:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.458,0.339,1.546,95.375,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 14:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,26.749,0.376,1.575,104.159,1,1,0,1,1,4,Critical,Excessive vibration
2026-01-08 14:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.716,0.289,1.636,82.634,1,0,0,0,1,2,Watch,Excessive vibration
2026-01-08 14:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,26.375,0.394,1.565,86.123,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 15:00:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.169,0.324,1.655,101.227,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 15:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,26.236,0.273,1.444,94.151,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 15:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.561,0.419,1.592,85.313,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 15:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.293,0.451,1.496,99.59,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 16:00:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.276,0.402,1.568,89.253,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 16:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.199,0.453,1.414,100.98,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 16:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.93,0.533,1.738,109.878,1,1,1,0,1,4,Critical,Excessive vibration
2026-01-08 16:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.171,0.469,1.58,94.888,1,1,1,0,1,4,Critical,Excessive vibration
2026-01-08 17:00:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.516,0.461,1.444,75.894,1,1,0,0,1,3,Anomaly,Excessive vibration
2026-01-08 17:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.819,0.54,1.697,92.18,1,1,1,0,1,4,Critical,Excessive vibration
2026-01-08 17:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.801,0.493,1.557,88.218,1,1,1,0,1,4,Critical,Excessive vibration
2026-01-08 17:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.43,0.487,,87.947,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 18:00:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.303,0.488,1.591,97.349,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 18:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.899,0.439,1.713,91.439,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 18:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,23.581,0.387,1.675,86.951,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 18:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.646,0.505,1.449,92.016,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 19:00:00,SITE_01,BLDG_01,ASSET_001,Chiller,22.566,0.614,1.652,10.149,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 19:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,23.785,0.457,1.55,11.031,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 19:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,25.078,0.431,1.493,56.269,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 19:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,23.788,0.419,1.557,9.475,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 20:00:00,SITE_01,BLDG_01,ASSET_001,Chiller,22.416,0.651,1.609,53.158,1,1,0,0,0,2,Watch,Excessive vibration
2026-01-08 20:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,23.543,0.72,1.572,11.445,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 20:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,23.012,0.67,1.638,9.848,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 20:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,24.035,0.463,1.676,13.669,1,0,1,0,0,2,Watch,Excessive vibration
2026-01-08 21:00:00,SITE_01,BLDG_01,ASSET_001,Chiller,22.07,0.667,1.603,15.315,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 21:15:00,SITE_01,BLDG_01,ASSET_001,Chiller,22.945,0.606,1.688,9.23,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 21:30:00,SITE_01,BLDG_01,ASSET_001,Chiller,21.538,0.733,1.725,12.894,1,1,1,0,0,3,Anomaly,Excessive vibration
2026-01-08 21:45:00,SITE_01,BLDG_01,ASSET_001,Chiller,23.956,0.641,1.548,10.997,1,1,1,0,0,3,Anomaly,Excessive vibration
