site_id,building_id,asset_id,asset_type,anomaly_count,critical_count,max_anomaly_score,avg_power,avg_vibration,max_vibration,avg_temperature
SITE_03,BLDG_05,ASSET_024,Pump,161,15,5,7.677760648148148,0.2365660597572362,1.335,23.188588914819135
SITE_01,BLDG_01,ASSET_001,Chiller,128,13,4,43.18930219907407,0.18377358710882766,0.877,22.62776321328344
SITE_02,BLDG_04,ASSET_019,Pump,125,13,4,7.650466550925926,0.27516773666394306,1.803,23.65109112176863
SITE_02,BLDG_03,ASSET_014,Pump,114,12,4,7.419703125,0.2593998134980767,1.343,21.11481942336874
SITE_01,BLDG_01,ASSET_005,Energy Meter,119,11,5,60.79701724537038,0.08352637093957388,0.585,21.360858395696912
SITE_01,BLDG_02,ASSET_009,Pump,109,11,4,7.610697106481481,0.25632037815126046,1.71,22.958829142790318
SITE_02,BLDG_03,ASSET_011,Chiller,121,8,4,41.98762256944445,0.16780601889653565,0.848,22.041116450368293
SITE_02,BLDG_04,ASSET_016,Chiller,138,5,4,42.023241550925924,0.16752910238429172,0.9,22.13445981045981
SITE_01,BLDG_02,ASSET_006,Chiller,131,4,4,46.319827546296295,0.17900804195804196,1.064,23.874027105970324
SITE_02,BLDG_04,ASSET_020,Energy Meter,87,4,4,65.37396539351852,0.08236285248193893,1.532,23.174238378883437
SITE_01,BLDG_01,ASSET_004,Pump,71,3,4,7.621406828703704,0.21731959845920393,1.575,22.92309387085433
SITE_03,BLDG_06,ASSET_030,Energy Meter,26,3,4,63.40676898148149,0.0801958197104157,0.581,22.40642255498362
SITE_02,BLDG_03,ASSET_015,Energy Meter,104,2,4,65.0856287037037,0.08158351763473402,0.542,22.975296248685286
SITE_01,BLDG_02,ASSET_010,Energy Meter,75,2,4,61.520504861111114,0.08147415100945268,0.66,21.634611305769678
SITE_03,BLDG_05,ASSET_021,Chiller,55,2,4,42.38805833333333,0.1874298399345718,1.235,22.2586373921157
SITE_01,BLDG_01,ASSET_002,AHU,50,2,4,16.693749189814813,0.0830297410776767,0.545,21.196950081833062
SITE_01,BLDG_01,ASSET_003,AHU,50,2,4,16.97741736111111,0.08301094040968343,1.103,23.722116471962618
SITE_02,BLDG_04,ASSET_017,AHU,55,1,4,16.959607291666668,0.083142039481369,0.605,23.789924092023824
SITE_03,BLDG_06,ASSET_026,Chiller,45,1,4,39.008540162037036,0.1909829558720523,1.156,21.037393091334895
SITE_03,BLDG_06,ASSET_029,Pump,35,1,4,7.618182870370371,0.25076362151440906,1.565,22.386943217665618
SITE_01,BLDG_02,ASSET_007,AHU,23,1,4,16.88127685185185,0.08324223385689354,0.693,22.10068554710357
SITE_01,BLDG_02,ASSET_008,AHU,16,1,4,16.969651041666665,0.08113296754611254,0.511,23.511270636310567
SITE_02,BLDG_03,ASSET_013,AHU,48,0,3,17.007560416666664,0.08291493824283384,0.578,23.781716274716274
SITE_02,BLDG_04,ASSET_018,AHU,33,0,3,16.818103703703702,0.08245984123278076,0.613,22.035870134424314
SITE_03,BLDG_05,ASSET_025,Energy Meter,33,0,3,59.97019930555555,0.08036770360013981,0.493,21.08496968632959
SITE_03,BLDG_05,ASSET_022,AHU,30,0,3,16.986661921296296,0.08317638807714786,0.545,23.809328933535802
SITE_03,BLDG_05,ASSET_023,AHU,27,0,3,16.919475578703704,0.08252668457316362,0.517,23.77743997662186
SITE_02,BLDG_03,ASSET_012,AHU,26,0,3,16.793330208333334,0.08251224918338777,0.549,21.0121282621416
SITE_03,BLDG_06,ASSET_027,AHU,7,0,2,16.907234953703703,0.0808605140186916,0.51,22.339938806493052
SITE_03,BLDG_06,ASSET_028,AHU,4,0,2,16.795096527777776,0.08021096209912536,0.49,21.507851817225664
