asset_id,asset_type,building_id,max_failure_probability,mean_failure_probability,alert_count,observations
ASSET_005,Energy Meter,BLDG_01,0.9997259,0.08061573,38,1608
ASSET_003,AHU,BLDG_01,0.99874806,0.115759805,36,1608
ASSET_006,Chiller,BLDG_02,0.99743575,0.061519686,59,1603
ASSET_022,AHU,BLDG_05,0.9972017,0.06854067,34,1608
ASSET_020,Energy Meter,BLDG_04,0.9960188,0.01818352,24,1608
ASSET_009,Pump,BLDG_02,0.97580045,0.045498013,39,1608
ASSET_012,AHU,BLDG_03,0.91961443,0.3127314,124,1613
ASSET_024,Pump,BLDG_05,0.89738387,0.22203903,21,1613
ASSET_014,Pump,BLDG_03,0.8891331,0.15324901,8,1613
ASSET_023,AHU,BLDG_05,0.76408345,0.16630396,1,1613
ASSET_017,AHU,BLDG_04,0.71778417,0.14479211,0,1613
ASSET_011,Chiller,BLDG_03,0.7063196,0.10394386,0,1613
ASSET_001,Chiller,BLDG_01,0.63816863,0.0720725,0,1613
ASSET_019,Pump,BLDG_04,0.6316776,0.043299604,0,1613
ASSET_016,Chiller,BLDG_04,0.6307267,0.06392704,0,1613
ASSET_007,AHU,BLDG_02,0.60435015,0.10722075,0,1613
ASSET_018,AHU,BLDG_04,0.5020085,0.05238513,0,1613
ASSET_008,AHU,BLDG_02,0.46476024,0.052406844,0,1613
ASSET_002,AHU,BLDG_01,0.38105184,0.04119303,0,1613
ASSET_013,AHU,BLDG_03,0.32057413,0.024502411,0,1613
ASSET_015,Energy Meter,BLDG_03,0.2870411,0.01952095,0,1613
ASSET_004,Pump,BLDG_01,0.19303013,0.0033507496,0,1608
ASSET_021,Chiller,BLDG_05,0.11343121,0.0049364357,0,1613
ASSET_025,Energy Meter,BLDG_05,0.092160806,0.005801712,0,1613
ASSET_027,AHU,BLDG_06,0.055360824,0.0047813696,0,1613
ASSET_029,Pump,BLDG_06,0.021941304,0.0007483413,0,1613
ASSET_028,AHU,BLDG_06,0.017157272,0.0006119927,0,1613
ASSET_010,Energy Meter,BLDG_02,0.011828945,0.0007992009,0,1613
ASSET_030,Energy Meter,BLDG_06,0.0019439111,0.00013404319,0,1613
ASSET_026,Chiller,BLDG_06,0.0016418166,0.00022298959,0,1613
