feature,importance_mean,importance_std
vibration_change_6h,0.08075866436619786,0.00273601882826914
vibration_mean_1h,0.07420571286283673,0.00413450825183311
vibration_max_1h,0.053894209291156646,0.004395205850423414
vibration_mean_12h,0.04044305191848276,0.0026104790841163955
pressure_mean_1h,0.01916205629951463,0.0015422713061419497
vibration,0.01866331647982127,0.001498171015217729
vibration_max_6h,0.008653713045270694,0.002275009016498681
pressure_mean_6h,0.007654473526161743,0.0010707225407284142
pressure,0.005115790686747446,0.0014043580638076166
vibration_change_1h,0.001520133505286947,0.00019874305764369193
humidity,0.0010090421459466481,0.0006858632221187007
hour,0.0007364795053080297,0.0015830223866462234
power_consumption_change_1h,0.0007000740374594084,0.0008622980479137701
asset_type,0.0004834170037643526,0.0015395529933296534
has_parent_asset,0.0,0.0
operating_mode,0.0,0.0
vibration_missing,0.0,0.0
occupancy_count_missing,0.0,0.0
power_consumption_missing,0.0,0.0
pressure_missing,0.0,0.0
temperature_missing,0.0,0.0
humidity_missing,0.0,0.0
pressure_change_6h,-0.000161854229515368,0.0003067929152091955
power_consumption_change_6h,-0.00019582325585644212,0.0006419687563124128
temperature_change_1h,-0.0002921395544346117,0.0005019446194228032
power_consumption_mean_6h,-0.0003138952909266357,0.0018181490289194131
pressure_change_1h,-0.00035568773276499764,0.00012109228247257243
temperature,-0.0005593255111541074,0.0008056016498758732
site_id,-0.0007485089675816625,0.0011724636597804385
power_consumption_mean_1h,-0.0009731363970078676,0.0011815478258473376
temperature_change_6h,-0.0014706408152420636,0.0005049256542111575
power_consumption_max_1h,-0.0018646435568163366,0.0006885053808909241
occupancy_count,-0.0030528694697942505,0.00067253924025934
power_consumption,-0.0033867054112454833,0.0013049672480104691
vibration_mean_6h,-0.0035477078585743117,0.001874697437703097
power_consumption_mean_12h,-0.004287785749135098,0.0019937017324451974
capacity,-0.004512431215505819,0.0016896151397345096
building_id,-0.006049257390416429,0.007814698093013387
temperature_mean_6h,-0.007257065777387073,0.001583829955327076
is_weekend,-0.00873782918469559,0.0008404186540203173
temperature_mean_1h,-0.01125437973945168,0.0024678554012726064
day_of_week,-0.01806061869021164,0.002535218664242335
power_consumption_max_6h,-0.018250068108777728,0.00160862055876453
vibration_max_12h,-0.0233244032112227,0.005292212908562439
manufacturer,-0.042933704113724824,0.0031684120317403775
asset_age_years,-0.04574747274015487,0.006091102261209082
power_consumption_max_12h,-0.08823220723434043,0.0055995590413107504
